simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
738,52.49387572642819,586,3.2,1000,421.05530676475416,31,967,1476,2
739,46.20310679442036,602,3.2,1000,404.5031741336888,19,955,1478,2
740,47.63930968150794,561,3.2,1000,405.51841965238793,28,964,1480,2
741,46.54466947941163,581,3.2,1000,406.3801730110025,18,954,1482,2
742,48.11453931846955,588,3.2,1000,404.1450609664172,24,960,1484,2
743,50.48439734691964,591,3.2,1000,413.5256157877812,28,964,1486,2
744,46.792794072801854,560,3.2,1000,394.5332203615286,15,951,1488,2
745,47.0346052377964,587,3.2,1000,394.5258478808524,23,959,1490,2
746,48.253760513062346,585,3.2,1000,402.10606195975777,24,960,1492,2
747,50.682133686003276,598,3.2,1000,413.89165587891193,23,959,1494,2
748,48.592095648014336,625,3.2,1000,405.0455467688744,18,954,1496,2
749,48.33291774440482,653,3.2,1000,418.5678800612685,34,970,1498,2
750,44.13996617870394,533,3.2,1000,392.76007037901934,19,955,1500,2
751,45.57717019788092,550,3.2,1000,408.102158355554,24,960,1502,2
752,50.318865316155076,592,3.2,1000,418.47114213283794,24,960,1504,2
753,47.47067467039566,574,3.2,1000,406.22350348878587,20,956,1506,2
754,45.21330879789522,582,3.2,1000,405.5793100589402,24,960,1508,2
755,45.84948637787119,581,3.2,1000,406.23159008999215,21,957,1510,2
756,46.81825775445933,615,3.2,1000,402.6512094551645,23,959,1512,2
757,49.28976873099214,601,3.2,1000,415.09612691779245,26,962,1514,2
758,46.677409293329106,551,3.2,1000,407.1847642370841,12,948,1516,2
759,48.781519466167325,579,3.2,1000,409.2727593335021,23,959,1518,2
760,48.66786725364221,566,3.2,1000,406.92081097751225,30,966,1520,2
761,50.62619289749965,589,3.2,1000,419.2571750729607,36,972,1522,2
762,45.69794418387635,560,3.2,1000,401.8357913984552,18,954,1524,2
763,49.72980691257843,588,3.2,1000,416.60166350758414,25,961,1526,2
764,47.442062874470246,592,3.2,1000,409.56692860646444,25,961,1528,2
765,48.563523559239904,606,3.2,1000,416.37972852902897,26,962,1530,2
766,48.98371778499335,586,3.2,1000,420.5284290017187,30,966,1532,2
767,46.393838356157715,574,3.2,1000,401.71229357684507,18,954,1534,2
768,48.429840891615555,625,3.2,1000,412.54343148769385,31,967,1536,2
769,48.8127225537984,612,3.2,1000,419.49667103548546,28,964,1538,2
770,45.99261864414525,575,3.2,1000,394.5171966300741,19,955,1540,2
771,50.90628310846435,577,3.2,1000,418.6473092082821,29,965,1542,2
772,45.93184812039322,570,3.2,1000,403.43282782666597,20,956,1544,2
773,44.49302864251689,605,3.2,1000,392.6272069167074,18,954,1546,2
774,47.89450286052826,563,3.2,1000,405.4950145370444,28,964,1548,2
775,48.50427688190549,567,3.2,1000,408.16792293573735,22,958,1550,2
776,47.86704670006937,596,3.2,1000,398.8252091496848,29,965,1552,2
777,47.09003006695149,562,3.2,1000,406.75332027363874,21,957,1554,2
778,47.077822754658364,544,3.2,1000,404.2741296119563,20,956,1556,2
779,48.986665572226336,600,3.2,1000,416.9135967441036,30,966,1558,2
780,48.57301138365291,601,3.2,1000,420.6468534313754,27,963,1560,2
781,47.24349753167156,541,3.2,1000,398.7939325521325,16,952,1562,2
782,48.16032999987781,608,3.2,1000,408.0792688733042,25,961,1564,2
783,47.65855581125478,573,3.2,1000,399.3755633821402,24,960,1566,2
784,45.99124563003837,594,3.2,1000,399.0208331908688,23,959,1568,2
785,46.95232519049789,572,3.2,1000,406.01471628433967,17,953,1570,2
786,45.122537299335896,535,3.2,1000,391.22274486644505,18,954,1572,2
787,49.685543458531505,566,3.2,1000,416.03544082616156,26,962,1574,2
788,44.3574201546701,605,3.2,1000,389.19658431263065,21,957,1576,2
789,45.71356407882303,594,3.2,1000,403.15956123951884,21,957,1578,2
790,48.41128456383749,531,3.2,1000,409.0111219614578,18,954,1580,2
791,46.74672749761569,567,3.2,1000,408.8811304849094,21,957,1582,2
792,49.664061201725616,567,3.2,1000,413.29171310610104,18,954,1584,2
793,49.29340376000078,603,3.2,1000,413.7242245611374,24,960,1586,2
794,48.24380385123199,592,3.2,1000,412.9481416560355,30,966,1588,2
795,46.62308660969003,553,3.2,1000,396.2442770853148,18,954,1590,2
796,51.00845861836652,633,3.2,1000,416.3667491034038,32,968,1592,2
797,45.99912999887259,557,3.2,1000,397.4063292701727,22,958,1594,2
798,49.105337885102756,575,3.2,1000,412.89203645888574,22,958,1596,2
799,48.15390836234763,551,3.2,1000,404.42056836933693,18,954,1598,2
800,46.4438150353324,545,3.6,1000,402.12155435002666,13,949,1600,2
